text,label
Study finds daily walking significantly reduces risk of heart disease,0
Regular exercise linked to improved cardiovascular health study shows,0
Scientists confirm vaccines are safe and effective for children,0
Drinking 8 glasses of water daily improves kidney function research finds,0
Harvard study confirms Mediterranean diet reduces cancer risk,0
WHO confirms new virus outbreak in Southeast Asia spreading rapidly,0
FDA approves new diabetes medication after successful clinical trials,0
Doctors confirm coffee in moderation reduces risk of type 2 diabetes,0
Drinking bleach cures cancer government hiding the truth,1
Vaccines cause autism doctors secretly paid to hide evidence,1
5G towers spreading coronavirus government mind control plan,1
Eating onions cures diabetes big pharma hiding the secret cure,1
Scientists discover miracle herb that cures all diseases instantly,1
Bill Gates putting microchips in vaccines to track population,1
Sugar industry paid scientists to blame fat for heart disease conspiracy,1
Hospitals paid to fake COVID deaths government coverup exposed,1
